a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
45 69 97 1 7 19 23 9 0 13 4 5 4
46 19 97 1 5 15 20 8 0 11 4 4 3
47 64 97 1 5 8 17 6 0 8 5 1 2
48 95 97 1 0 5 3 1 0 2 0 1 1
49 2 97 1 0 4 3 1 0 2 0 1 1
50 33 97 1 10 14 25 10 0 13 5 5 3
51 78 97 1 9 10 18 7 0 10 4 3 3
52 28 97 1 9 18 25 10 0 15 5 5 5
53 11 97 1 8 11 13 5 0 8 3 2 3
54 9 97 1 8 12 15 6 0 9 3 3 3
55 30 97 1 8 9 21 8 0 11 3 5 3
56 26 97 1 8 23 25 10 0 16 5 5 6
57 80 97 1 7 13 16 6 0 10 4 2 4
58 92 97 1 7 9 10 4 0 7 2 2 3
59 74 97 1 9 13 16 6 0 10 4 2 4
60 76 97 1 7 18 20 8 0 13 4 4 5
61 35 97 1 9 15 21 8 0 12 5 3 4
62 36 97 1 14 22 25 10 0 17 5 5 7
63 77 97 1 9 13 18 7 0 11 3 4 4
64 47 97 1 4 12 17 6 0 9 1 5 3
65 3 97 1 1 9 3 1 0 3 1 0 2
66 25 97 1 11 34 25 10 0 18 5 5 8
67 42 97 1 9 27 25 10 0 16 5 5 6
68 10 97 1 6 21 15 6 0 11 3 3 5
69 45 97 1 9 27 23 9 0 15 5 4 6
70 79 97 1 9 22 18 7 0 13 3 4 6
71 41 97 1 11 34 23 9 0 17 5 4 8
72 31 97 1 12 22 25 10 0 16 5 5 6
73 4 97 1 5 11 10 4 0 7 2 2 3
74 59 97 1 11 19 23 9 0 14 4 5 5
75 22 97 1 6 20 20 8 0 13 4 4 5
76 60 97 1 9 18 23 9 0 14 4 5 5
77 63 97 1 9 17 25 10 0 15 5 5 5
78 51 97 1 7 18 25 10 0 14 5 5 4
79 70 97 1 9 23 23 9 0 15 5 4 6
80 57 97 1 8 25 25 10 0 16 5 5 6
81 6 97 1 3 13 10 4 0 7 2 2 3
82 84 97 1 12 25 20 8 0 15 4 4 7
83 90 97 1 6 13 13 5 0 8 3 2 3
84 82 97 1 6 18 18 7 0 11 3 4 4
85 8 97 1 6 11 15 6 0 9 3 3 3
86 44 97 1 9 15 25 10 0 14 5 5 4
87 29 97 1 7 21 23 9 0 14 5 4 5
88 43 97 1 6 17 21 8 0 12 3 5 4
89 12 97 1 4 17 15 6 0 10 3 3 4
90 83 97 1 7 18 20 8 0 12 4 4 4
91 16 97 1 7 11 20 8 0 11 4 4 3
92 58 97 1 5 18 23 9 0 13 4 5 4
93 24 97 1 5 21 20 8 0 13 4 4 5
94 32 97 1 8 11 25 10 0 13 5 5 3
95 48 97 1 6 25 25 10 0 16 5 5 6
96 96 97 1 0 4 0 0 0 1 0 0 1
2 51 101 1 2 14 23 9 0 12 4 5 3
3 34 101 1 2 10 23 9 0 11 4 5 2
4 76 101 1 2 13 20 8 0 11 4 4 3
5 81 101 1 2 10 16 6 0 8 2 4 2
6 17 101 1 2 10 20 8 0 10 4 4 2
7 29 101 1 5 13 23 9 0 12 5 4 3
8 38 101 1 4 16 23 9 0 13 4 5 4
9 45 101 1 3 21 21 8 0 12 5 3 4
10 91 101 1 2 9 13 5 0 7 2 3 2
11 46 101 1 5 18 25 10 0 14 5 5 4
12 59 101 1 3 13 23 9 0 12 4 5 3
13 70 101 1 5 8 21 8 0 10 5 3 2
14 65 101 1 7 17 25 10 0 14 5 5 4
15 27 101 1 9 20 23 9 0 15 5 4 6
16 19 101 1 4 16 20 8 0 12 4 4 4
17 6 101 1 1 9 8 3 0 5 1 2 2
18 73 101 1 8 24 25 10 0 16 5 5 6
19 16 101 1 5 15 20 8 0 12 4 4 4
20 96 101 1 2 8 10 4 0 6 2 2 2
21 77 101 1 7 15 20 8 0 12 4 4 4
22 23 101 1 8 15 20 8 0 12 4 4 4
23 22 101 1 3 13 18 7 0 10 3 4 3
24 80 101 1 3 12 20 8 0 11 4 4 3
25 97 101 1 0 6 6 2 0 3 0 2 1
26 35 101 1 9 12 25 10 0 13 5 5 3
27 15 101 1 4 9 16 6 0 8 4 2 2
28 83 101 1 7 10 18 7 0 10 3 4 3
29 7 101 1 4 8 13 5 0 7 3 2 2
30 64 101 1 8 25 25 10 0 17 5 5 7
31 88 101 1 8 18 18 7 0 12 4 3 5
32 60 101 1 5 20 23 9 0 14 4 5 5
33 49 101 1 3 15 17 6 0 9 5 1 3
34 3 101 1 1 9 5 2 0 4 1 1 2
35 26 101 1 16 26 25 10 0 17 5 5 7
36 87 101 1 10 20 20 8 0 13 4 4 5
37 71 101 1 13 23 25 10 0 16 5 5 6
38 8 101 1 5 11 13 5 0 8 2 3 3
39 57 101 1 13 23 25 10 0 16 5 5 6
40 48 101 1 11 15 23 9 0 13 4 5 4
41 69 101 1 9 19 23 9 0 13 4 5 4
42 89 101 1 3 14 13 5 0 8 2 3 3
43 47 101 1 7 27 23 9 0 15 5 4 6
44 62 101 1 8 20 23 9 0 14 4 5 5
45 9 101 1 2 10 11 4 0 6 3 1 2
46 11 101 1 3 13 15 6 0 9 3 3 3
47 43 101 1 7 20 23 9 0 14 5 4 5
48 40 101 1 7 16 23 9 0 13 4 5 4
49 33 101 1 3 11 17 6 0 8 5 1 2
50 99 101 1 0 5 3 1 0 2 0 1 1
51 2 101 1 0 4 3 1 0 2 0 1 1
52 68 101 1 10 15 25 10 0 14 5 5 4
53 61 101 1 11 14 23 9 0 13 4 5 4
54 58 101 1 7 17 25 10 0 14 5 5 4
55 90 101 1 7 10 13 5 0 8 3 2 3
56 92 101 1 7 9 15 6 0 9 3 3 3
57 39 101 1 12 13 23 9 0 13 5 4 4
58 357 101 1 9 23 25 10 0 15 5 5 5
59 12 101 1 8 18 15 6 0 11 3 3 5
60 32 101 1 10 15 25 10 0 15 5 5 5
61 53 101 1 12 17 25 10 0 15 5 5 5
62 44 101 1 14 20 25 10 0 17 5 5 7
63 93 101 1 7 11 13 5 0 8 2 3 3
64 30 101 1 10 21 25 10 0 15 5 5 5
65 14 101 1 9 23 20 8 0 14 4 4 6
66 75 101 1 11 20 25 10 0 15 5 5 5
67 98 101 1 1 8 3 1 0 3 1 0 2
68 52 101 1 4 15 17 6 0 9 1 5 3
69 41 101 1 8 21 23 9 0 14 5 4 5
70 13 101 1 9 28 20 8 0 15 4 4 7
71 37 101 1 10 27 21 8 0 14 5 3 6
72 94 101 1 6 16 13 5 0 9 2 3 4
73 18 101 1 8 23 18 7 0 13 3 4 6
74 86 101 1 9 27 20 8 0 15 4 4 7
75 66 101 1 10 21 23 9 0 14 5 4 5
76 4 101 1 5 11 10 4 0 7 2 2 3
77 21 101 1 9 17 16 6 0 10 4 2 4
78 79 101 1 9 22 20 8 0 13 4 4 5
79 78 101 1 10 16 18 7 0 11 4 3 4
80 24 101 1 11 15 20 8 0 12 4 4 4
81 5 101 1 2 10 6 2 0 4 2 0 2
82 85 101 1 9 18 20 8 0 12 4 4 4
83 28 101 1 12 23 25 10 0 16 5 5 6
84 95 101 1 3 13 10 4 0 7 2 2 3
85 82 101 1 7 16 16 6 0 10 4 2 4
86 74 101 1 14 29 25 10 0 18 5 5 8
87 36 101 1 7 20 25 10 0 15 5 5 5
88 31 101 1 9 23 25 10 0 16 5 5 6
89 42 101 1 8 23 25 10 0 15 5 5 5
90 55 101 1 6 19 25 10 0 14 5 5 4
91 10 101 1 4 14 15 6 0 9 3 3 3
92 56 101 1 5 17 21 8 0 12 3 5 4
93 63 101 1 10 24 23 9 0 15 4 5 6
94 72 101 1 11 24 25 10 0 17 5 5 7
95 84 101 1 2 10 12 4 0 6 4 0 2
96 20 101 1 7 16 20 8 0 12 4 4 4
97 25 101 1 3 15 14 5 0 8 4 1 3
98 67 101 1 6 15 25 10 0 13 5 5 3
99 50 101 1 6 19 25 10 0 14 5 5 4
100 100 101 1 0 4 0 0 0 1 0 0 1
2 52 103 1 3 17 25 10 0 14 5 5 4
3 69 103 1 2 11 23 9 0 11 4 5 2
4 26 103 1 5 21 25 10 0 15 5 5 5
5 62 103 1 2 15 23 9 0 12 5 4 3
6 86 103 1 2 10 20 8 0 10 4 4 2
7 59 103 1 8 17 25 10 0 15 5 5 5
8 13 103 1 5 17 20 8 0 12 4 4 4
9 23 103 1 2 20 18 7 0 11 4 3 4
10 31 103 1 5 18 25 10 0 14 5 5 4
11 75 103 1 5 20 25 10 0 15 5 5 5
12 43 103 1 9 16 25 10 0 14 5 5 4
13 8 103 1 0 4 9 3 0 4 0 3 1
14 81 103 1 4 16 20 8 0 12 4 4 4
15 55 103 1 10 20 25 10 0 16 5 5 6
16 58 103 1 7 25 25 10 0 16 5 5 6
17 97 103 1 1 9 8 3 0 5 1 2 2
18 63 103 1 7 24 23 9 0 15 4 5 6
19 38 103 1 5 25 25 10 0 16 5 5 6
20 67 103 1 6 22 25 10 0 15 5 5 5
21 54 103 1 7 14 23 9 0 13 5 4 4
22 89 103 1 7 17 20 8 0 13 4 4 5
23 9 103 1 1 9 13 5 0 7 3 2 2
24 73 103 1 10 20 25 10 0 15 5 5 5
25 33 103 1 2 10 19 7 0 9 5 2 2
26 4 103 1 0 4 6 2 0 3 0 2 1
27 42 103 1 10 20 25 10 0 15 5 5 5
28 92 103 1 6 9 15 6 0 9 3 3 3
29 32 103 1 8 8 21 8 0 11 3 5 3
30 79 103 1 4 21 20 8 0 13 4 4 5
31 10 103 1 4 15 15 6 0 10 3 3 4
32 29 103 1 10 28 25 10 0 17 5 5 7
33 25 103 1 2 14 14 5 0 8 4 1 3
34 100 103 1 1 8 5 2 0 4 1 1 2
35 53 103 1 8 16 25 10 0 14 5 5 4
36 83 103 1 11 19 20 8 0 13 4 4 5
37 39 103 1 10 25 23 9 0 15 5 4 6
38 19 103 1 8 20 18 7 0 12 3 4 5
39 37 103 1 9 16 21 8 0 12 5 3 4
40 85 103 1 6 14 16 6 0 9 2 4 3
41 98 103 1 1 9 8 3 0 5 2 1 2
42 27 103 1 9 21 25 10 0 15 5 5 5
43 12 103 1 3 13 13 5 0 8 2 3 3
44 96 103 1 5 14 15 6 0 10 3 3 4
45 87 103 1 6 15 18 7 0 10 3 4 3
46 56 103 1 5 18 25 10 0 14 5 5 4
47 57 103 1 10 19 25 10 0 15 5 5 5
48 88 103 1 7 16 20 8 0 12 4 4 4
49 82 103 1 4 13 18 7 0 10 4 3 3
50 68 103 1 5 13 25 10 0 13 5 5 3
51 101 103 1 0 5 3 1 0 2 0 1 1
52 2 103 1 0 4 3 1 0 2 0 1 1
53 35 103 1 9 13 23 9 0 12 5 4 3
54 21 103 1 11 15 20 8 0 12 4 4 4
55 15 103 1 4 9 14 5 0 7 4 1 2
56 46 103 1 10 15 21 8 0 12 3 5 4
57 47 103 1 11 18 23 9 0 14 5 4 5
58 16 103 1 8 8 18 7 0 10 3 4 3
59 7 103 1 3 9 11 4 0 6 3 1 2
60 91 103 1 7 18 15 6 0 11 3 3 5
61 76 103 1 9 20 23 9 0 15 5 4 6
62 5 103 1 6 9 10 4 0 7 2 2 3
63 18 103 1 9 16 20 8 0 13 4 4 5
64 66 103 1 12 27 25 10 0 17 5 5 7
65 84 103 1 8 16 18 7 0 11 4 3 4
66 64 103 1 10 18 23 9 0 14 4 5 5
67 20 103 1 8 15 20 8 0 12 4 4 4
68 50 103 1 12 15 25 10 0 14 5 5 4
69 3 103 1 1 9 3 1 0 3 1 0 2
70 78 103 1 4 15 14 5 0 8 1 4 3
71 74 103 1 11 23 23 9 0 15 5 4 6
72 93 103 1 6 20 15 6 0 11 3 3 5
73 24 103 1 7 23 20 8 0 14 4 4 6
74 71 103 1 12 31 25 10 0 18 5 5 8
75 11 103 1 5 20 13 5 0 10 3 2 5
76 61 103 1 9 24 23 9 0 15 4 5 6
77 99 103 1 5 13 10 4 0 7 2 2 3
78 70 103 1 10 20 25 10 0 15 5 5 5
79 30 103 1 12 22 23 9 0 15 4 5 6
80 94 103 1 6 13 13 5 0 8 2 3 3
81 14 103 1 8 17 20 8 0 12 4 4 4
82 49 103 1 11 16 23 9 0 13 4 5 4
83 36 103 1 9 20 25 10 0 15 5 5 5
84 65 103 1 10 24 25 10 0 16 5 5 6
85 40 103 1 9 24 23 9 0 15 4 5 6
86 6 103 1 3 13 10 4 0 7 2 2 3
87 45 103 1 9 26 23 9 0 15 5 4 6
88 48 103 1 13 21 25 10 0 17 5 5 7
89 743 103 1 7 22 20 8 0 13 4 4 5
90 95 103 1 6 14 15 6 0 9 3 3 3
91 60 103 1 9 16 23 9 0 13 5 4 4
92 28 103 1 8 21 25 10 0 15 5 5 5
93 72 103 1 7 16 21 8 0 12 5 3 4
94 80 103 1 4 17 18 7 0 11 3 4 4
95 90 103 1 7 21 18 7 0 12 4 3 5
96 44 103 1 13 21 25 10 0 16 5 5 6
97 17 103 1 2 10 12 4 0 6 4 0 2
98 41 103 1 8 16 23 9 0 13 4 5 4
99 77 103 1 8 21 25 10 0 15 5 5 5
100 34 103 1 8 16 25 10 0 14 5 5 4
101 51 103 1 5 19 23 9 0 13 5 4 4
102 102 103 1 0 4 0 0 0 1 0 0 1
2 -267 107 -106 9 16 25 10 0 14 5 5 4
3 36 107 1 2 10 21 8 0 10 3 5 2
4 27 107 1 6 23 25 10 0 15 5 5 5
5 43 107 1 4 22 23 9 0 13 5 4 4
6 18 107 1 2 10 18 7 0 9 3 4 2
7 46 107 1 6 17 25 10 0 14 5 5 4
8 67 107 1 7 27 25 10 0 16 5 5 6
9 12 107 1 1 9 11 4 0 6 1 3 2
10 75 107 1 7 26 25 10 0 16 5 5 6
11 39 107 1 6 13 21 8 0 11 5 3 3
12 9 107 1 2 10 15 6 0 8 3 3 2
13 33 107 1 4 12 21 8 0 10 5 3 2
14 23 107 1 8 12 20 8 0 11 4 4 3
15 50 107 1 7 20 25 10 0 15 5 5 5
16 87 107 1 5 18 18 7 0 11 3 4 4
17 63 107 1 7 17 23 9 0 13 4 5 4
18 6 107 1 1 9 8 3 0 5 1 2 2
19 62 107 1 8 19 23 9 0 14 5 4 5
20 91 107 1 5 23 20 8 0 13 4 4 5
21 51 107 1 4 20 23 9 0 13 5 4 4
22 73 107 1 7 16 25 10 0 14 5 5 4
23 14 107 1 6 13 18 7 0 10 3 4 3
24 58 107 1 4 18 25 10 0 14 5 5 4
25 30 107 1 7 13 23 9 0 12 4 5 3
26 70 107 1 6 15 25 10 0 13 5 5 3
27 4 107 1 0 4 6 2 0 3 0 2 1
28 65 107 1 9 17 23 9 0 13 4 5 4
29 48 107 1 8 18 25 10 0 15 5 5 5
30 25 107 1 10 13 20 8 0 12 4 4 4
31 38 107 1 6 21 25 10 0 15 5 5 5
32 97 107 1 5 17 15 6 0 10 3 3 4
33 13 107 1 2 14 11 4 0 7 3 1 3
34 85 107 1 7 16 20 8 0 12 4 4 4
35 52 107 1 6 18 25 10 0 14 5 5 4
36 3 107 1 1 9 5 2 0 4 1 1 2
37 81 107 1 9 15 20 8 0 12 4 4 4
38 31 107 1 10 25 25 10 0 17 5 5 7
39 11 107 1 6 15 13 5 0 9 3 2 4
40 99 107 1 5 14 13 5 0 8 2 3 3
41 47 107 1 8 24 23 9 0 15 5 4 6
42 79 107 1 11 22 25 10 0 16 5 5 6
43 5 107 1 1 9 8 3 0 5 2 1 2
44 90 107 1 5 15 20 8 0 12 4 4 4
45 88 107 1 5 15 18 7 0 11 4 3 4
46 7 107 1 6 13 15 6 0 9 3 3 3
47 41 107 1 8 15 23 9 0 13 5 4 4
48 29 107 1 6 20 25 10 0 15 5 5 5
49 83 107 1 8 19 20 8 0 13 4 4 5
50 15 107 1 7 13 20 8 0 11 4 4 3
51 21 107 1 5 13 18 7 0 10 4 3 3
52 35 107 1 8 18 25 10 0 14 5 5 4
53 105 107 1 0 5 3 1 0 2 0 1 1
54 2 107 1 0 4 3 1 0 2 0 1 1
55 72 107 1 10 10 23 9 0 12 5 4 3
56 86 107 1 9 16 20 8 0 12 4 4 4
57 92 107 1 5 8 14 5 0 7 4 1 2
58 24 107 1 10 12 18 7 0 11 3 4 4
59 78 107 1 11 22 23 9 0 15 5 4 6
60 66 107 1 12 18 23 9 0 14 4 5 5
61 100 107 1 4 7 11 4 0 6 3 1 2
62 19 107 1 8 20 18 7 0 12 3 4 5
63 17 107 1 7 15 16 6 0 10 4 2 4
64 102 107 1 5 12 8 3 0 6 1 2 3
65 28 107 1 13 22 25 10 0 16 5 5 6
66 60 107 1 10 20 21 8 0 13 3 5 5
67 8 107 1 7 14 15 6 0 10 3 3 4
68 96 107 1 5 10 11 4 0 7 1 3 3
69 76 107 1 12 26 23 9 0 16 5 4 7
70 26 107 1 9 14 20 8 0 12 4 4 4
71 104 107 1 1 8 3 1 0 3 1 0 2
72 55 107 1 7 19 25 10 0 14 5 5 4
73 22 107 1 7 17 20 8 0 12 4 4 4
74 94 107 1 3 14 11 4 0 7 1 3 3
75 10 107 1 7 15 15 6 0 10 3 3 4
76 69 107 1 9 25 25 10 0 16 5 5 6
77 82 107 1 12 26 18 7 0 14 4 3 7
78 59 107 1 8 26 21 8 0 14 3 5 6
79 42 107 1 8 23 23 9 0 15 4 5 6
80 103 107 1 5 13 10 4 0 7 2 2 3
81 37 107 1 8 15 19 7 0 11 5 2 4
82 77 107 1 13 28 25 10 0 18 5 5 8
83 49 107 1 6 21 23 9 0 14 5 4 5
84 93 107 1 7 18 20 8 0 13 4 4 5
85 34 107 1 6 17 25 10 0 14 5 5 4
86 56 107 1 3 18 23 9 0 13 4 5 4
87 16 107 1 5 18 20 8 0 13 4 4 5
88 45 107 1 7 19 23 9 0 14 4 5 5
89 101 107 1 3 13 10 4 0 7 2 2 3
90 44 107 1 8 20 23 9 0 14 4 5 5
91 20 107 1 7 17 18 7 0 12 3 4 5
92 57 107 1 8 25 25 10 0 16 5 5 6
93 84 107 1 7 20 18 7 0 12 4 3 5
94 74 107 1 9 18 25 10 0 15 5 5 5
95 98 107 1 2 9 9 3 0 5 3 0 2
96 68 107 1 6 24 25 10 0 16 5 5 6
97 32 107 1 6 18 25 10 0 15 5 5 5
98 95 107 1 4 18 15 6 0 10 3 3 4
99 40 107 1 8 23 25 10 0 16 5 5 6
100 61 107 1 8 21 25 10 0 15 5 5 5
101 89 107 1 5 14 20 8 0 11 4 4 3
102 64 107 1 5 16 23 9 0 13 4 5 4
103 80 107 1 8 19 23 9 0 14 5 4 5
104 71 107 1 8 21 25 10 0 15 5 5 5
105 53 107 1 6 17 21 8 0 12 5 3 4
106 106 107 1 0 4 0 0 0 1 0 0 1
2 55 109 1 5 18 23 9 0 13 4 5 4
3 73 109 1 2 11 21 8 0 10 3 5 2
4 82 109 1 5 17 20 8 0 12 4 4 4
5 349 109 1 2 16 18 7 0 10 3 4 3
6 91 109 1 2 10 18 7 0 9 3 4 2
7 78 109 1 6 9 23 9 0 11 5 4 2
8 41 109 1 6 22 23 9 0 14 4 5 5
9 97 109 1 1 10 11 4 0 6 1 3 2
10 229 109 1 2 15 15 6 0 9 3 3 3
11 10 109 1 2 10 13 5 0 7 2 3 2
12 100 109 1 2 9 15 6 0 8 3 3 2
13 42 109 1 4 15 23 9 0 12 4 5 3
14 39 109 1 9 13 25 10 0 13 5 5 3
15 80 109 1 8 17 23 9 0 14 5 4 5
16 75 109 1 10 23 25 10 0 16 5 5 6
17 77 109 1 5 24 23 9 0 14 4 5 5
18 103 109 1 1 9 8 3 0 5 1 2 2
19 23 109 1 5 13 16 6 0 9 4 2 3
20 60 109 1 5 19 21 8 0 12 3 5 4
21 26 109 1 5 20 20 8 0 12 4 4 4
22 5 109 1 2 10 10 4 0 6 2 2 2
23 19 109 1 5 11 16 6 0 9 4 2 3
24 50 109 1 8 15 23 9 0 13 4 5 4
25 48 109 1 6 23 25 10 0 16 5 5 6
26 21 109 1 4 15 20 8 0 11 4 4 3
27 105 109 1 0 6 6 2 0 3 0 2 1
28 74 109 1 10 16 25 10 0 14 5 5 4
29 94 109 1 5 8 16 6 0 8 4 2 2
30 40 109 1 12 19 25 10 0 16 5 5 6
31 102 109 1 4 7 13 5 0 7 3 2 2
32 92 109 1 4 19 18 7 0 12 3 4 5
33 76 109 1 8 21 23 9 0 15 5 4 6
34 93 109 1 5 23 20 8 0 13 4 4 5
35 81 109 1 6 22 25 10 0 15 5 5 5
36 106 109 1 1 8 5 2 0 4 1 1 2
37 56 109 1 8 13 23 9 0 13 5 4 4
38 66 109 1 6 17 23 9 0 13 4 5 4
39 14 109 1 11 22 20 8 0 14 4 4 6
40 30 109 1 11 26 25 10 0 17 5 5 7
41 8 109 1 5 11 13 5 0 8 2 3 3
42 13 109 1 8 16 15 6 0 10 3 3 4
43 71 109 1 6 15 19 7 0 10 2 5 3
44 57 109 1 5 18 23 9 0 13 4 5 4
45 63 109 1 12 25 25 10 0 17 5 5 7
46 64 109 1 6 22 25 10 0 16 5 5 6
47 58 109 1 11 20 23 9 0 14 5 4 5
48 25 109 1 8 15 20 8 0 12 4 4 4
49 89 109 1 4 14 18 7 0 10 3 4 3
50 24 109 1 8 17 20 8 0 13 4 4 5
51 62 109 1 9 15 23 9 0 13 5 4 4
52 65 109 1 5 20 23 9 0 13 4 5 4
53 72 109 1 6 14 23 9 0 12 5 4 3
54 107 109 1 0 5 3 1 0 2 0 1 1
55 2 109 1 0 4 3 1 0 2 0 1 1
56 37 109 1 12 18 25 10 0 15 5 5 5
57 44 109 1 9 14 23 9 0 13 4 5 4
58 47 109 1 11 14 25 10 0 14 5 5 4
59 85 109 1 10 14 18 7 0 11 3 4 4
60 20 109 1 8 14 18 7 0 11 3 4 4
61 84 109 1 9 12 18 7 0 11 4 3 4
62 51 109 1 12 13 25 10 0 15 5 5 5
63 45 109 1 11 26 23 9 0 15 5 4 6
64 46 109 1 9 21 25 10 0 16 5 5 6
65 52 109 1 6 25 25 10 0 16 5 5 6
66 38 109 1 10 20 25 10 0 16 5 5 6
67 96 109 1 6 12 13 5 0 9 3 2 4
68 101 109 1 5 18 15 6 0 10 3 3 4
69 79 109 1 8 24 25 10 0 16 5 5 6
70 95 109 1 8 19 20 8 0 13 4 4 5
71 43 109 1 6 16 23 9 0 13 5 4 4
72 53 109 1 7 16 23 9 0 13 4 5 4
73 3 109 1 1 9 3 1 0 3 1 0 2
74 28 109 1 6 20 25 10 0 15 5 5 5
75 16 109 1 5 18 20 8 0 13 4 4 5
76 33 109 1 9 29 25 10 0 17 5 5 7
77 17 109 1 5 21 18 7 0 12 4 3 5
78 7 109 1 8 23 15 6 0 12 3 3 6
79 69 109 1 9 24 21 8 0 14 3 5 6
80 15 109 1 8 23 20 8 0 14 4 4 6
81 35 109 1 8 21 23 9 0 14 5 4 5
82 4 109 1 5 11 10 4 0 7 2 2 3
83 88 109 1 8 14 16 6 0 10 4 2 4
84 61 109 1 10 21 21 8 0 13 3 5 5
85 59 109 1 12 19 25 10 0 15 5 5 5
86 90 109 1 6 14 16 6 0 9 2 4 3
87 104 109 1 2 8 6 2 0 4 2 0 2
88 83 109 1 5 17 20 8 0 12 4 4 4
89 49 109 1 5 19 21 8 0 12 5 3 4
90 86 109 1 8 24 20 8 0 14 4 4 6
91 6 109 1 3 13 10 4 0 7 2 2 3
92 32 109 1 8 24 25 10 0 17 5 5 7
93 34 109 1 8 19 21 8 0 13 3 5 5
94 29 109 1 10 29 25 10 0 17 5 5 7
95 70 109 1 8 19 21 8 0 13 5 3 5
96 67 109 1 10 19 23 9 0 14 4 5 5
97 9 109 1 2 10 9 3 0 5 3 0 2
98 99 109 1 4 13 15 6 0 9 3 3 3
99 98 109 1 3 14 13 5 0 8 3 2 3
100 12 109 1 4 17 15 6 0 10 3 3 4
101 68 109 1 6 20 23 9 0 14 5 4 5
102 31 109 1 11 24 25 10 0 16 5 5 6
103 18 109 1 5 14 20 8 0 11 4 4 3
104 87 109 1 5 19 20 8 0 12 4 4 4
105 27 109 1 5 18 18 7 0 11 4 3 4
106 36 109 1 8 16 25 10 0 14 5 5 4
107 54 109 1 6 22 25 10 0 15 5 5 5
108 108 109 1 0 4 0 0 0 1 0 0 1
2 57 113 1 3 15 19 7 0 10 2 5 3
3 38 113 1 6 13 23 9 0 12 4 5 3
4 85 113 1 3 14 16 6 0 9 2 4 3
5 68 113 1 8 15 23 9 0 13 5 4 4
6 19 113 1 6 13 20 8 0 11 4 4 3
7 97 113 1 0 8 12 4 0 5 0 4 1
8 99 113 1 3 13 13 5 0 8 2 3 3
9 88 113 1 4 14 18 7 0 10 4 3 3
10 34 113 1 9 25 25 10 0 16 5 5 6
11 72 113 1 4 15 21 8 0 11 5 3 3
12 66 113 1 7 22 25 10 0 15 5 5 5
13 87 113 1 8 14 20 8 0 12 4 4 4
14 105 113 1 0 7 9 3 0 4 0 3 1
15 98 113 1 6 9 18 7 0 9 4 3 2
16 106 113 1 3 12 10 4 0 7 2 2 3
17 20 113 1 6 17 18 7 0 11 3 4 4
18 44 113 1 7 17 23 9 0 13 4 5 4
19 6 113 1 1 9 8 3 0 5 1 2 2
20 17 113 1 9 21 20 8 0 13 4 4 5
21 70 113 1 6 22 23 9 0 14 5 4 5
22 36 113 1 8 18 25 10 0 14 5 5 4
23 59 113 1 12 17 25 10 0 15 5 5 5
24 33 113 1 10 24 25 10 0 16 5 5 6
25 104 113 1 3 8 13 5 0 7 3 2 2
26 100 113 1 4 13 15 6 0 9 3 3 3
27 67 113 1 11 19 25 10 0 15 5 5 5
28 109 113 1 0 6 6 2 0 3 0 2 1
29 39 113 1 9 10 23 9 0 12 5 4 3
30 49 113 1 12 17 25 10 0 14 5 5 4
31 62 113 1 11 13 21 8 0 12 5 3 4
32 53 113 1 6 19 19 7 0 11 2 5 4
33 24 113 1 7 24 20 8 0 14 4 4 6
34 10 113 1 6 17 15 6 0 10 3 3 4
35 42 113 1 7 26 25 10 0 16 5 5 6
36 22 113 1 7 17 20 8 0 12 4 4 4
37 55 113 1 5 19 23 9 0 13 5 4 4
38 3 113 1 1 9 5 2 0 4 1 1 2
39 29 113 1 9 19 23 9 0 14 5 4 5
40 65 113 1 10 29 25 10 0 17 5 5 7
41 102 113 1 7 14 13 5 0 9 3 2 4
42 35 113 1 11 26 25 10 0 17 5 5 7
43 92 113 1 8 14 18 7 0 11 4 3 4
44 18 113 1 5 13 16 6 0 9 2 4 3
45 108 113 1 2 8 8 3 0 5 2 1 2
46 86 113 1 5 17 20 8 0 12 4 4 4
47 101 113 1 3 14 13 5 0 8 2 3 3
48 73 113 1 8 25 25 10 0 16 5 5 6
49 30 113 1 12 20 25 10 0 16 5 5 6
50 52 113 1 8 15 23 9 0 13 4 5 4
51 82 113 1 6 17 23 9 0 13 5 4 4
52 50 113 1 6 17 21 8 0 12 3 5 4
53 32 113 1 7 11 23 9 0 12 4 5 3
54 90 113 1 5 18 20 8 0 12 4 4 4
55 37 113 1 5 15 23 9 0 12 5 4 3
56 111 113 1 0 5 3 1 0 2 0 1 1
57 2 113 1 0 4 3 1 0 2 0 1 1
58 76 113 1 9 14 25 10 0 14 5 5 4
59 23 113 1 9 11 16 6 0 9 4 2 3
60 81 113 1 12 21 25 10 0 15 5 5 5
61 63 113 1 16 21 25 10 0 17 5 5 7
62 31 113 1 13 22 25 10 0 16 5 5 6
63 61 113 1 15 17 25 10 0 15 5 5 5
64 83 113 1 18 32 25 10 0 19 5 5 9
65 40 113 1 8 24 25 10 0 16 5 5 6
66 12 113 1 5 19 15 6 0 11 3 3 5
67 27 113 1 6 20 18 7 0 12 4 3 5
68 5 113 1 4 12 8 3 0 6 1 2 3
69 95 113 1 9 18 20 8 0 13 4 4 5
70 21 113 1 8 20 18 7 0 12 3 4 5
71 78 113 1 8 18 21 8 0 13 5 3 5
72 11 113 1 4 12 11 4 0 7 1 3 3
73 48 113 1 9 26 25 10 0 17 5 5 7
