a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
37 7 43 1 6 13 13 5 0 8 3 2 3
38 17 43 1 6 13 18 7 0 10 3 4 3
39 32 43 1 6 14 18 7 0 11 4 3 4
40 14 43 1 9 19 20 8 0 13 4 4 5
41 21 43 1 5 13 16 6 0 9 4 2 3
42 42 43 1 0 4 0 0 0 1 0 0 1
2 24 47 1 1 17 20 8 0 12 4 4 4
3 16 47 1 0 4 12 4 0 5 0 4 1
4 12 47 1 4 20 20 8 0 13 4 4 5
5 19 47 1 1 14 18 7 0 10 4 3 3
6 8 47 1 0 4 9 3 0 4 0 3 1
7 27 47 1 8 17 20 8 0 13 4 4 5
8 6 47 1 4 16 15 6 0 10 3 3 4
9 21 47 1 1 14 16 6 0 9 4 2 3
10 33 47 1 7 18 20 8 0 13 4 4 5
11 30 47 1 1 11 16 6 0 8 4 2 2
12 4 47 1 0 4 6 2 0 3 0 2 1
13 29 47 1 7 11 18 7 0 10 3 4 3
14 37 47 1 4 16 15 6 0 10 3 3 4
15 22 47 1 5 21 20 8 0 13 4 4 5
16 3 47 1 4 12 10 4 0 7 2 2 3
17 36 47 1 7 14 13 5 0 9 3 2 4
18 34 47 1 9 18 20 8 0 13 4 4 5
19 5 47 1 1 9 8 3 0 5 2 1 2
20 40 47 1 5 14 15 6 0 10 3 3 4
21 9 47 1 1 9 11 4 0 6 3 1 2
22 15 47 1 6 14 20 8 0 11 4 4 3
23 45 47 1 0 5 3 1 0 2 0 1 1
24 2 47 1 0 4 3 1 0 2 0 1 1
25 32 47 1 3 6 14 5 0 7 4 1 2
26 38 47 1 7 10 15 6 0 9 3 3 3
27 7 47 1 3 9 11 4 0 6 3 1 2
28 42 47 1 6 9 10 4 0 7 2 2 3
29 13 47 1 9 15 18 7 0 11 4 3 4
30 11 47 1 10 13 15 6 0 10 3 3 4
31 44 47 1 3 6 8 3 0 5 2 1 2
32 25 47 1 7 24 20 8 0 14 4 4 6
33 10 47 1 6 19 15 6 0 11 3 3 5
34 18 47 1 9 22 18 7 0 13 3 4 6
35 43 47 1 5 13 10 4 0 7 2 2 3
36 17 47 1 11 20 20 8 0 14 4 4 6
37 14 47 1 8 18 20 8 0 12 4 4 4
